Adelaide & 7548 & 404256 & 75480 & 754800 & 562 & 4508.664 & 4512.853 & 4.189 & 121.812 & 0.027 & 1446.499 & 1448.060 & 1.561 & 177.515 & 0.123 & 13.778567049s & 584.886778ms & 23.558 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 494 & 3320.031 & 3327.860 & 7.829 & 68.195 & 0.020 & 4428.981 & 4382.247 & 46.734 & 333.437 & 0.076 & 1.068542389s & 275.276002ms & 3.882 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 537 & 2925.437 & 2931.135 & 5.699 & 48.739 & 0.017 & 1333.995 & 1352.078 & 18.083 & 201.438 & 0.149 & 29.106069937s & 196.921921ms & 147.805 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 523 & 3606.340 & 3618.607 & 12.266 & 86.186 & 0.024 & 1150.740 & 1171.491 & 20.752 & 151.123 & 0.129 & 3.896222511s & 308.939668ms & 12.612 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 574 & 4912.544 & 4926.625 & 14.081 & 147.608 & 0.030 & 1822.326 & 1844.676 & 22.350 & 141.187 & 0.077 & 18.102398094s & 429.521782ms & 42.145 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 512 & 3167.875 & 3168.273 & 0.398 & 80.849 & 0.026 & 1513.958 & 1517.168 & 3.210 & 176.204 & 0.116 & 1.430368167s & 242.883762ms & 5.889 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 548 & 5736.236 & 5710.183 & 26.052 & 148.991 & 0.026 & 2828.221 & 2799.318 & 28.903 & 282.164 & 0.101 & 5.944458444s & 781.95821ms & 7.602 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 537 & 3193.753 & 3206.587 & 12.834 & 117.536 & 0.037 & 1173.258 & 1160.235 & 13.023 & 152.551 & 0.131 & 8.43826056s & 330.603336ms & 25.524 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 483 & 2402.910 & 2394.448 & 8.462 & 115.791 & 0.048 & 2454.791 & 2481.702 & 26.911 & 214.609 & 0.086 & 847.067388ms & 128.046777ms & 6.615 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 558 & 3367.553 & 3359.982 & 7.571 & 85.291 & 0.025 & 1615.475 & 1635.301 & 19.826 & 233.723 & 0.143 & 26.315697161s & 375.361034ms & 70.108 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 431 & 1543.260 & 1552.063 & 8.804 & 52.524 & 0.034 & 963.902 & 956.325 & 7.577 & 154.943 & 0.162 & 76.606342ms & 70.68722ms & 1.084 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 559 & 1066.023 & 1043.654 & 22.370 & 100.685 & 0.096 & 1156.085 & 1146.472 & 9.613 & 166.544 & 0.145 & 18.492399895s & 144.796429ms & 127.713 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 477 & 2405.136 & 2399.418 & 5.718 & 47.198 & 0.020 & 909.470 & 881.346 & 28.124 & 128.031 & 0.145 & 879.929687ms & 117.647947ms & 7.479 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 610 & 8569.206 & 8604.472 & 35.265 & 231.376 & 0.027 & 1800.190 & 1797.964 & 2.226 & 164.138 & 0.091 & 159.172368434s & 1.496169461s & 106.387 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 504 & 3171.421 & 3192.221 & 20.800 & 95.488 & 0.030 & 2247.782 & 2229.250 & 18.532 & 228.444 & 0.102 & 2.210530542s & 256.76841ms & 8.609 \\
Palermo & 2176 & 226215 & 21760 & 217600 & 500 & 2718.609 & 2720.705 & 2.097 & 46.463 & 0.017 & 496.122 & 491.820 & 4.302 & 47.421 & 0.096 & 1.741397817s & 261.737491ms & 6.653 \\
Paris & 11950 & 1823872 & 11950 & 1195000 & 470 & 4296.455 & 4277.316 & 19.139 & 171.613 & 0.040 & 441.501 & 418.979 & 22.522 & 93.840 & 0.224 & 106.01494871s & 349.093004ms & 303.687 \\
Prague & 5147 & 670421 & 51470 & 514700 & 543 & 3713.360 & 3687.926 & 25.434 & 136.667 & 0.037 & 3078.589 & 3127.459 & 48.869 & 310.226 & 0.099 & 19.149218622s & 307.074306ms & 62.360 \\
Rennes & 1407 & 109075 & 14070 & 140700 & 478 & 2879.312 & 2865.126 & 14.187 & 66.145 & 0.023 & 864.149 & 855.113 & 9.036 & 127.018 & 0.149 & 602.097721ms & 138.216687ms & 4.356 \\
Rome & 7869 & 1051211 & 78690 & 786900 & 564 & 3915.730 & 3939.326 & 23.597 & 100.591 & 0.026 & 817.100 & 808.074 & 9.026 & 139.702 & 0.173 & 53.099899633s & 585.385651ms & 90.709 \\
Sydney & 24063 & 1265135 & 240630 & 2406300 & 620 & 6058.332 & 6039.743 & 18.589 & 175.413 & 0.029 & 2709.395 & 2739.426 & 30.031 & 253.067 & 0.092 & 232.527435195s & 1.046369402s & 222.223 \\
Toulouse & 3329 & 224354 & 33290 & 332900 & 521 & 4668.833 & 4668.362 & 0.472 & 130.735 & 0.028 & 2027.361 & 2003.689 & 23.672 & 179.969 & 0.090 & 3.570179706s & 362.376088ms & 9.852 \\
Turku & 1850 & 133512 & 18500 & 185000 & 492 & 1995.165 & 2006.168 & 11.003 & 54.130 & 0.027 & 1169.335 & 1150.817 & 18.518 & 200.713 & 0.174 & 947.174025ms & 179.159519ms & 5.287 \\
Venice & 1874 & 118519 & 18740 & 187400 & 492 & 1925.388 & 1957.920 & 32.532 & 64.280 & 0.033 & 2591.814 & 2673.390 & 81.576 & 237.733 & 0.089 & 1.017513055s & 139.250264ms & 7.307 \\
Winnipeg & 5079 & 333882 & 50790 & 507900 & 542 & 3184.980 & 3182.674 & 2.306 & 54.895 & 0.017 & 1132.216 & 1134.786 & 2.570 & 171.261 & 0.151 & 6.647395658s & 531.173146ms & 12.515 \\
