Adelaide & 7548 & 404256 & 75480 & 754800 & 0.047 & 5000 & 4509.749 & 4509.338 & 0.411 & 42.474 & 0.009 & 2647.601 & 2653.633 & 6.032 & 43.586 & 0.016 & 420.619034764s & 207.983533386s & 207983.534 & 2.022 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 0.044 & 5000 & 3319.852 & 3318.687 & 1.165 & 23.329 & 0.007 & 5935.627 & 5932.291 & 3.336 & 128.559 & 0.022 & 52.631888072s & 394.410769234s & 394410.769 & 0.133 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 0.046 & 5000 & 2925.373 & 2921.377 & 3.996 & 20.155 & 0.007 & 2267.659 & 2252.750 & 14.909 & 72.136 & 0.032 & 564.844037966s & 173.813337551s & 173813.338 & 3.250 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 0.046 & 5000 & 3593.320 & 3591.751 & 1.569 & 33.976 & 0.009 & 2342.405 & 2348.261 & 5.856 & 57.927 & 0.025 & 94.544558308s & 180.862080408s & 180862.081 & 0.523 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 0.048 & 5000 & 4895.054 & 4893.331 & 1.722 & 52.087 & 0.011 & 3242.002 & 3255.321 & 13.319 & 53.383 & 0.016 & 455.72264251s & 194.04846981s & 194048.470 & 2.348 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 0.045 & 5000 & 3154.094 & 3146.131 & 7.963 & 25.306 & 0.008 & 2518.062 & 2517.018 & 1.044 & 56.921 & 0.023 & 30.398005727s & 125.511688257s & 125511.688 & 0.242 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 0.047 & 5000 & 5731.740 & 5727.467 & 4.273 & 46.585 & 0.008 & 4311.664 & 4317.643 & 5.979 & 86.362 & 0.020 & 119.263499654s & 243.560402523s & 243560.403 & 0.490 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 0.046 & 5000 & 3178.734 & 3180.076 & 1.342 & 31.764 & 0.010 & 2143.318 & 2145.475 & 2.157 & 55.443 & 0.026 & 151.143679342s & 123.780642394s & 123780.642 & 1.221 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 0.044 & 5000 & 2377.902 & 2374.735 & 3.167 & 42.994 & 0.018 & 3241.497 & 3237.782 & 3.715 & 94.454 & 0.029 & 29.816903765s & 209.33050964s & 209330.510 & 0.142 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 0.047 & 5000 & 3372.619 & 3372.558 & 0.061 & 24.902 & 0.007 & 2937.547 & 2934.528 & 3.019 & 66.572 & 0.023 & 651.076996992s & 241.34541144s & 241345.411 & 2.698 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 0.041 & 5000 & 1561.357 & 1561.835 & 0.479 & 15.591 & 0.010 & 1627.485 & 1628.696 & 1.211 & 36.092 & 0.022 & 3.13361961s & 77.766508071s & 77766.508 & 0.040 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 0.047 & 5000 & 1075.165 & 1075.597 & 0.432 & 31.920 & 0.030 & 1640.455 & 1641.264 & 0.809 & 63.954 & 0.039 & 415.01572407s & 116.681588708s & 116681.589 & 3.557 \\
