Adelaide & 7548 & 404256 & 75480 & 754800 & 141 & 4508.664 & 4510.517 & 1.853 & 222.299 & 0.049 & 1446.499 & 1454.766 & 8.267 & 307.446 & 0.211 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 124 & 3320.031 & 3333.623 & 13.592 & 195.098 & 0.059 & 4428.981 & 4408.258 & 20.723 & 596.018 & 0.135 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 135 & 2925.437 & 2924.875 & 0.562 & 112.017 & 0.038 & 1333.995 & 1363.467 & 29.471 & 516.501 & 0.379 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 131 & 3606.340 & 3604.833 & 1.507 & 180.451 & 0.050 & 1150.740 & 1110.504 & 40.236 & 289.102 & 0.260 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 144 & 4912.544 & 4900.779 & 11.765 & 257.855 & 0.053 & 1822.326 & 1866.292 & 43.966 & 283.865 & 0.152 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 128 & 3167.875 & 3191.832 & 23.957 & 226.171 & 0.071 & 1513.958 & 1495.547 & 18.411 & 347.192 & 0.232 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 137 & 5736.236 & 5768.012 & 31.777 & 262.541 & 0.046 & 2828.221 & 2916.044 & 87.823 & 590.986 & 0.203 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 135 & 3193.753 & 3164.943 & 28.810 & 202.642 & 0.064 & 1173.258 & 1189.422 & 16.164 & 345.930 & 0.291 \\
Florence & 3205 & 1425406 & 10573 & 30540 & 116 & 1758.257 & 1756.998 & 1.259 & 123.055 & 0.070 & 621.739 & 608.328 & 13.411 & 264.740 & 0.435 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 121 & 2402.910 & 2314.354 & 88.556 & 304.111 & 0.131 & 2454.791 & 2346.397 & 108.395 & 515.350 & 0.220 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 140 & 3367.553 & 3358.217 & 9.336 & 171.392 & 0.051 & 1615.475 & 1666.929 & 51.453 & 453.772 & 0.272 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 108 & 1543.260 & 1552.109 & 8.849 & 130.120 & 0.084 & 963.902 & 941.667 & 22.235 & 214.613 & 0.228 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 140 & 1066.023 & 1089.318 & 23.295 & 196.813 & 0.181 & 1156.085 & 1204.629 & 48.543 & 378.838 & 0.314 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 120 & 2405.136 & 2420.256 & 15.120 & 100.995 & 0.042 & 909.470 & 901.450 & 8.020 & 243.431 & 0.270 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 153 & 8569.206 & 8609.951 & 40.744 & 450.661 & 0.052 & 1800.190 & 1778.706 & 21.484 & 272.810 & 0.153 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 126 & 3171.421 & 3120.977 & 50.444 & 237.125 & 0.076 & 2247.782 & 2305.000 & 57.218 & 506.825 & 0.220 \\
Palermo & 2176 & 226215 & 21760 & 217600 & 125 & 2718.609 & 2725.553 & 6.944 & 107.240 & 0.039 & 496.122 & 478.272 & 17.850 & 103.313 & 0.216 \\
Prague & 5147 & 670421 & 51470 & 514700 & 136 & 3713.360 & 3700.378 & 12.982 & 250.772 & 0.068 & 3078.589 & 2869.147 & 209.442 & 645.085 & 0.225 \\
Rennes & 1407 & 109075 & 14070 & 140700 & 120 & 2879.312 & 2890.120 & 10.808 & 163.616 & 0.057 & 864.149 & 895.450 & 31.301 & 278.500 & 0.311 \\
Rome & 7869 & 1051211 & 78690 & 786900 & 141 & 3915.730 & 3914.035 & 1.695 & 177.875 & 0.045 & 817.100 & 796.851 & 20.249 & 427.703 & 0.537 \\
Sydney & 24063 & 1265135 & 240630 & 2406300 & 155 & 6058.332 & 5956.088 & 102.244 & 377.106 & 0.063 & 2709.395 & 2727.368 & 17.973 & 429.493 & 0.157 \\
Toulouse & 3329 & 224354 & 33290 & 332900 & 131 & 4668.833 & 4655.016 & 13.817 & 182.577 & 0.039 & 2027.361 & 2041.924 & 14.563 & 373.927 & 0.183 \\
Turku & 1850 & 133512 & 18500 & 185000 & 123 & 1995.165 & 1998.202 & 3.038 & 114.262 & 0.057 & 1169.335 & 1226.049 & 56.714 & 424.426 & 0.346 \\
Venice & 1874 & 118519 & 18740 & 187400 & 123 & 1925.388 & 1944.407 & 19.019 & 127.279 & 0.065 & 2591.814 & 2641.659 & 49.844 & 472.307 & 0.179 \\
Winnipeg & 5079 & 333882 & 50790 & 507900 & 136 & 3184.980 & 3209.261 & 24.281 & 95.610 & 0.030 & 1132.216 & 1174.500 & 42.284 & 313.368 & 0.267 \\
