Adelaide & 7548 & 404256 & 75480 & 754800 & 562 & 4508.664 & 4485.621 & 23.043 & 129.537 & 0.029 & 1446.499 & 1424.178 & 22.321 & 153.184 & 0.108 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 494 & 3320.031 & 3323.240 & 3.209 & 71.731 & 0.022 & 4428.981 & 4428.899 & 0.082 & 363.301 & 0.082 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 537 & 2925.437 & 2923.476 & 1.961 & 60.464 & 0.021 & 1333.995 & 1398.291 & 64.295 & 240.945 & 0.172 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 523 & 3606.340 & 3589.251 & 17.089 & 121.468 & 0.034 & 1150.740 & 1149.407 & 1.332 & 124.607 & 0.108 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 574 & 4912.544 & 4897.925 & 14.618 & 163.341 & 0.033 & 1822.326 & 1835.237 & 12.911 & 167.369 & 0.091 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 512 & 3167.875 & 3162.796 & 5.079 & 76.705 & 0.024 & 1513.958 & 1526.191 & 12.233 & 181.318 & 0.119 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 548 & 5736.236 & 5723.338 & 12.898 & 127.409 & 0.022 & 2828.221 & 2765.595 & 62.626 & 252.162 & 0.091 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 537 & 3193.753 & 3176.820 & 16.933 & 111.063 & 0.035 & 1173.258 & 1184.313 & 11.055 & 132.377 & 0.112 \\
Florence & 3205 & 1425406 & 10573 & 30540 & 464 & 1758.257 & 1755.935 & 2.321 & 58.562 & 0.033 & 621.739 & 636.078 & 14.339 & 158.027 & 0.248 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 483 & 2402.910 & 2416.713 & 13.804 & 141.162 & 0.058 & 2454.791 & 2531.826 & 77.035 & 323.049 & 0.128 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 558 & 3367.553 & 3364.145 & 3.408 & 69.428 & 0.021 & 1615.475 & 1599.538 & 15.937 & 201.613 & 0.126 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 431 & 1543.260 & 1524.182 & 19.078 & 56.043 & 0.037 & 963.902 & 945.077 & 18.825 & 139.023 & 0.147 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 559 & 1066.023 & 1071.351 & 5.327 & 94.476 & 0.088 & 1156.085 & 1186.798 & 30.712 & 189.679 & 0.160 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 477 & 2405.136 & 2405.771 & 0.635 & 45.262 & 0.019 & 909.470 & 917.849 & 8.379 & 119.462 & 0.130 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 610 & 8569.206 & 8559.480 & 9.727 & 247.095 & 0.029 & 1800.190 & 1802.607 & 2.417 & 127.463 & 0.071 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 504 & 3171.421 & 3174.865 & 3.444 & 85.107 & 0.027 & 2247.782 & 2261.786 & 14.004 & 231.516 & 0.102 \\
Palermo & 2176 & 226215 & 21760 & 217600 & 500 & 2718.609 & 2725.320 & 6.711 & 60.594 & 0.022 & 496.122 & 498.672 & 2.550 & 44.272 & 0.089 \\
Prague & 5147 & 670421 & 51470 & 514700 & 543 & 3713.360 & 3718.453 & 5.094 & 123.056 & 0.033 & 3078.589 & 3057.061 & 21.529 & 315.468 & 0.103 \\
Rennes & 1407 & 109075 & 14070 & 140700 & 478 & 2879.312 & 2892.071 & 12.758 & 86.727 & 0.030 & 864.149 & 868.983 & 4.834 & 122.961 & 0.141 \\
Rome & 7869 & 1051211 & 78690 & 786900 & 564 & 3915.730 & 3918.445 & 2.715 & 97.375 & 0.025 & 817.100 & 823.340 & 6.240 & 213.396 & 0.259 \\
Sydney & 24063 & 1265135 & 240630 & 2406300 & 620 & 6058.332 & 6058.264 & 0.067 & 218.158 & 0.036 & 2709.395 & 2736.852 & 27.457 & 255.901 & 0.094 \\
Toulouse & 3329 & 224354 & 33290 & 332900 & 521 & 4668.833 & 4701.317 & 32.483 & 83.549 & 0.018 & 2027.361 & 2030.372 & 3.011 & 182.129 & 0.090 \\
Turku & 1850 & 133512 & 18500 & 185000 & 492 & 1995.165 & 2006.437 & 11.273 & 48.611 & 0.024 & 1169.335 & 1139.049 & 30.286 & 194.226 & 0.171 \\
Venice & 1874 & 118519 & 18740 & 187400 & 492 & 1925.388 & 1933.541 & 8.153 & 86.664 & 0.045 & 2591.814 & 2631.915 & 40.100 & 265.148 & 0.101 \\
Winnipeg & 5079 & 333882 & 50790 & 507900 & 542 & 3184.980 & 3193.216 & 8.236 & 50.616 & 0.016 & 1132.216 & 1077.631 & 54.585 & 187.313 & 0.174 \\
