Adelaide & 7548 & 404256 & 75480 & 754800 & 1 & 4508.664 & 4485.862 & 22.802 & 288.941 & 0.064 & 1446.499 & 1440.300 & 6.199 & 391.690 & 0.272 & 20.128551015s & 121.205085ms & 166.070 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 1 & 3320.031 & 3333.272 & 13.241 & 159.650 & 0.048 & 4428.981 & 4371.240 & 57.741 & 864.306 & 0.198 & 1.044729022s & 61.24833ms & 17.057 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 1 & 2925.437 & 2954.707 & 29.270 & 131.139 & 0.044 & 1333.995 & 1329.060 & 4.935 & 506.541 & 0.381 & 30.429005652s & 58.979983ms & 515.920 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 1 & 3606.340 & 3602.569 & 3.772 & 214.867 & 0.060 & 1150.740 & 1152.720 & 1.980 & 326.952 & 0.284 & 4.252752079s & 76.162928ms & 55.838 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 1 & 4912.544 & 4912.088 & 0.456 & 433.254 & 0.088 & 1822.326 & 1788.300 & 34.026 & 322.081 & 0.180 & 28.852167687s & 227.863304ms & 126.620 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 1 & 3167.875 & 3158.989 & 8.885 & 226.131 & 0.072 & 1513.958 & 1556.880 & 42.922 & 394.815 & 0.254 & 1.473014073s & 53.691257ms & 27.435 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 1 & 5736.236 & 5745.208 & 8.973 & 343.381 & 0.060 & 2828.221 & 2743.560 & 84.661 & 541.797 & 0.197 & 6.98640004s & 210.562334ms & 33.180 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 1 & 3193.753 & 3164.198 & 29.555 & 236.671 & 0.075 & 1173.258 & 1209.780 & 36.522 & 392.987 & 0.325 & 11.325448533s & 77.929388ms & 145.330 \\
Florence & 3205 & 1425406 & 10573 & 30540 & 1 & 1758.257 & 1780.470 & 22.214 & 145.347 & 0.082 & 621.739 & 623.400 & 1.661 & 321.002 & 0.515 & 30.770202415s & 37.89883ms & 811.903 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 1 & 2402.910 & 2441.287 & 38.377 & 272.331 & 0.112 & 2454.791 & 2401.620 & 53.171 & 579.735 & 0.241 & 803.154051ms & 29.080392ms & 27.618 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 1 & 3367.553 & 3388.159 & 20.605 & 179.655 & 0.053 & 1615.475 & 1642.320 & 26.845 & 439.394 & 0.268 & 39.007712308s & 130.060008ms & 299.921 \\
Kuopio & 549 & 32122 & 5490 & 54900 & 1 & 1543.260 & 1521.914 & 21.345 & 91.397 & 0.060 & 963.902 & 908.100 & 55.802 & 272.480 & 0.300 & 71.817615ms & 21.140748ms & 3.397 \\
Lisbon & 7073 & 526169 & 70730 & 707300 & 1 & 1066.023 & 1037.899 & 28.124 & 231.620 & 0.223 & 1156.085 & 1105.260 & 50.825 & 386.227 & 0.349 & 22.722330841s & 36.573419ms & 621.274 \\
Luxembourg & 1367 & 186752 & 13670 & 136700 & 1 & 2405.136 & 2407.385 & 2.249 & 104.802 & 0.044 & 909.470 & 873.360 & 36.110 & 267.121 & 0.306 & 845.54589ms & 25.310558ms & 33.407 \\
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 1 & 8569.206 & 8620.944 & 51.738 & 613.076 & 0.071 & 1800.190 & 1824.420 & 24.230 & 449.550 & 0.246 & 222.152458735s & 298.108582ms & 745.206 \\
Nantes & 2353 & 196376 & 23530 & 235300 & 1 & 3171.421 & 3141.758 & 29.663 & 238.122 & 0.076 & 2247.782 & 2168.460 & 79.322 & 467.009 & 0.215 & 2.238283512s & 68.057111ms & 32.888 \\
