Adelaide & 7548 & 404256 & 75480 & 754800 & 1 & 4508.664 & 4503.896 & 4.768 & 84.365 & 0.019 & 1446.499 & 1442.276 & 4.223 & 125.134 & 0.087 & 13.897051033s & 17.443666307s & 17443.666 & 0.797 \\
Belfast & 1917 & 122693 & 19170 & 191700 & 1 & 3320.031 & 3317.595 & 2.437 & 53.772 & 0.016 & 4428.981 & 4426.030 & 2.951 & 258.704 & 0.058 & 1.044177685s & 8.806767251s & 8806.767 & 0.119 \\
Berlin & 4601 & 1048185 & 46010 & 460100 & 1 & 2925.437 & 2923.655 & 1.782 & 41.299 & 0.014 & 1333.995 & 1330.941 & 3.055 & 188.004 & 0.141 & 29.324031674s & 6.92651089s & 6926.511 & 4.234 \\
Bordeaux & 3435 & 236595 & 34350 & 343500 & 1 & 3606.340 & 3610.324 & 3.984 & 72.514 & 0.020 & 1150.740 & 1153.893 & 3.154 & 104.881 & 0.091 & 3.815954528s & 11.436832241s & 11436.832 & 0.334 \\
Brisbane & 9645 & 392805 & 96450 & 964500 & 1 & 4912.544 & 4908.229 & 4.314 & 111.578 & 0.023 & 1822.326 & 1820.737 & 1.589 & 111.890 & 0.061 & 18.057917333s & 15.378268s & 15378.268 & 1.174 \\
Canberra & 2764 & 124305 & 27640 & 276400 & 1 & 3167.875 & 3165.428 & 2.447 & 65.041 & 0.021 & 1513.958 & 1511.557 & 2.401 & 133.742 & 0.088 & 1.422882096s & 7.42284548s & 7422.846 & 0.192 \\
Detroit & 5683 & 214863 & 56830 & 568300 & 1 & 5736.236 & 5733.579 & 2.657 & 94.408 & 0.016 & 2828.221 & 2820.465 & 7.756 & 190.182 & 0.067 & 5.942667396s & 30.01147937s & 30011.479 & 0.198 \\
Dublin & 4571 & 407111 & 45710 & 457100 & 1 & 3193.753 & 3191.315 & 2.438 & 77.608 & 0.024 & 1173.258 & 1167.358 & 5.900 & 113.949 & 0.098 & 8.248714483s & 12.106210612s & 12106.211 & 0.681 \\
Grenoble & 1547 & 114492 & 15470 & 154700 & 1 & 2402.910 & 2404.561 & 1.651 & 87.544 & 0.036 & 2454.791 & 2454.456 & 0.336 & 184.754 & 0.075 & 843.532651ms & 4.796003112s & 4796.003 & 0.176 \\
Helsinki & 6986 & 686417 & 69860 & 698600 & 1 & 3367.553 & 3367.355 & 0.199 & 61.804 & 0.018 & 1615.475 & 1624.000 & 8.525 & 159.884 & 0.098 & 26.782605274s & 13.854970091s & 13854.970 & 1.933 \\
