stop_I;lat;lon;name
5@6013_600;43.7778086900976;11.2397241014307;T1 Porta Al Prato - Leopolda
6@BRP011_600;43.7134614229807;11.2908887187895;San Martino A Strada
6@BRP067_600;43.7150688511835;11.2914622718203;San Martino 1
6@BRP068_600;43.7121210857279;11.2903307121816;San Martino
6@BRP069_600;43.7122213529543;11.2904490996084;San Martino
6@BRP071_600;43.7032417837945;11.2932425623869;Ugolino
6@BRP102_600;43.7149348067209;11.2915359738172;San Martino
6@FI_001_600;43.7758209554761;11.2464342758946;Firenze Autostazione
6@FI_098_600;43.7300879387826;11.2484146091042;Il Pino
6@FI_128_600;43.7363598441127;11.2454557375873;P. Le Vigne
6@FI_129_600;43.7363854969723;11.2456046388069;P. Le Vigne
6@FI_144_600;43.7336874999653;11.2488750395471;P. San Valentino
6@FI_145_600;43.7380422281349;11.2446732329238;Mulino Nuovo
6@FI_158_600;43.7383032322032;11.2443391370786;Mulino Nuovo
6@FI_159_600;43.7338213602766;11.2486749232627;P. San Valentino
6@GCH106_600;43.6831913827506;11.2936254934677;Decimo Km
6@GCH134_600;43.6876649511411;11.296227761078;La Presura Greve
6@GCH139_600;43.6687095448573;11.2915332930192;Poggio Sala 1
6@GCH140_600;43.6705859018248;11.2848031810026;Parcole 2
6@GCH143_600;43.6726013376011;11.2777700389485;Tortelli 2
6@GCH144_600;43.6715958616954;11.280200528505;Casanova 1
6@GCH145_600;43.6704265573962;11.2848202043307;Parcole 1
6@GCH147_600;43.6688190494096;11.2871827153561;Santa Cristina Villaggio 1
6@GCH148_600;43.6716713829231;11.2804135145689;Casanova 2
6@GCH149_600;43.6724785612867;11.2778451524936;Tortelli 1
6@GCH150_600;43.682526924184;11.2932393899898;Decimo Km
6@GCH151_600;43.6784195460392;11.2928905865511;Poggio Olivello
6@GCH153_600;43.6779237958771;11.2927879626865;Poggio Olivello
6@GCH158_600;43.6717170588343;11.2921285624683;Petigliolo
6@GCH160_600;43.6718106687626;11.2922197000157;Petigliolo
6@GCH206_600;43.6690614489813;11.2905433646365;Poggio Sala 2
6@GCH207_600;43.6688070578894;11.286684259195;Santa Cristina Villaggio 2
6@IMT005_600;43.7033226903474;11.2931366827588;Ugolino
6@IMT025_600;43.695810584298;11.2929286760989;Poggio Ugolino
6@IMT026_600;43.695666055391;11.2929628400967;Poggio Ugolino
6@IMT027_600;43.687557169244;11.2961565234898;La Presura Greve
6@IMT044_600;43.6913456056823;11.2540357153058;Monte S. Antonio
6@IMT045_600;43.6964789987692;11.2507708788833;I Meccoli
6@IMT046_600;43.7017513093815;11.2492446639606;Le Rose
6@IMT047_600;43.7059920336153;11.2524967913197;Campiano
6@IMT048_600;43.7112727704677;11.2568833033867;Sant'Isidoro
6@IMT050_600;43.715500904637;11.2602597987321;Mezzomonte
6@IMT051_600;43.7207539159845;11.2514564208792;Don Gnocchi
6@IMT052_600;43.7243186029792;11.2447535523197;Croce Di Via Di Pozzolatico
6@IMT053_600;43.7297178489901;11.2482201034981;Il Pino
6@IMT054_600;43.7087393426853;11.2552693063738;Monte Oriolo
