stop_id,stop_name,stop_lat,stop_lon,stop_code
"5@6013_600","T1 Porta Al Prato - Leopolda","43.7778086900976","11.2397241014307","5@6013"
"9@F0002_600","Stazione Leopolda","43.7777265748945","11.2384886192965","9@F0002"
"BRP009_600","Chiantigiana Longo","43.7376835576055","11.2974043016504","BRP009"
"BRP011_600","San Martino A Strada","43.7134614229807","11.2908887187895","BRP011"
"BRP012_600","Gobetti Volta Granacci","43.7553032657394","11.3179155664687","BRP012"
"BRP013_600","Roma Otto Marzo","43.7483297200317","11.3289496718473","BRP013"
"BRP015_600","Roma Martellina","43.7481935853103","11.3350821026465","BRP015"
"BRP016_600","Roma Parcheggio","43.7479451597493","11.3352605259258","BRP016"
"BRP017_600","Roseto Di Rosano","43.7754762359278","11.3631443225831","BRP017"
"BRP037_600","Cimitero San Piero A Ema","43.7375251499936","11.2974463605416","BRP037"
"BRP042_600","Roma Volta Gobetti","43.7534403783561","11.3134326233869","BRP042"
"BRP058_600","Roma Robinson","43.7524672261134","11.3187997102761","BRP058"
"BRP059_600","Roma Procacci","43.7522188033001","11.3194474759633","BRP059"
"BRP062_600","Ospedale Annunziata","43.7323101811027","11.305586201613","BRP062"
"BRP063_600","Osma Parcheggio","43.7324952139863","11.3053403144784","BRP063"
"BRP067_600","San Martino 1","43.7150688511835","11.2914622718203","BRP067"
"BRP068_600","San Martino","43.7121210857279","11.2903307121816","BRP068"
"BRP069_600","San Martino","43.7122213529543","11.2904490996084","BRP069"
"BRP071_600","Ugolino","43.7032417837945","11.2932425623869","BRP071"
"BRP094_600","Chiantigiana Dell'Antella","43.7346778859569","11.2966576115833","BRP094"
"BRP095_600","Chiantigiana Belmonte","43.7338348866706","11.296971003502","BRP095"
"BRP098_600","Di Antella Belmonte","43.7333504092455","11.2984212637081","BRP098"
"BRP102_600","San Martino","43.7149348067209","11.2915359738172","BRP102"
"BRP106_600","Di Antella Ponte A Niccheri","43.7334330732964","11.2987876197003","BRP106"
