Adelaide & 1124 & 4509.749 & 4517.977 & 8.228 & 77.533 & 0.017 & 2647.601 & 2638.967 & 8.634 & 135.417 & 0.051  & 351.154827575s  & 47.480445137s \\
Belfast & 987 & 3319.852 & 3322.267 & 2.415 & 65.293 & 0.02 & 5935.627 & 5913.207 & 22.419 & 290.564 & 0.049  & 55.25467892s  & 62.086589277s \\
Berlin & 1074 & 2925.373 & 2929.912 & 4.539 & 42.979 & 0.015 & 2267.659 & 2241.073 & 26.586 & 174.379 & 0.078  & 528.330832932s  & 34.934086624s \\
Bordeaux & 1045 & 3593.32 & 3619.483 & 26.163 & 69.831 & 0.019 & 2342.405 & 2364.202 & 21.796 & 125.924 & 0.053  & 105.801291707s  & 39.388306157s \\
Brisbane & 1148 & 4895.054 & 4896.956 & 1.903 & 92.744 & 0.019 & 3242.002 & 3244.704 & 2.702 & 126.951 & 0.039  & 508.538014713s  & 56.256355178s \\
Canberra & 1023 & 3154.094 & 3159.99 & 5.896 & 73.742 & 0.023 & 2518.062 & 2536.518 & 18.457 & 137.684 & 0.054  & 42.618753231s  & 32.663885647s \\
Detroit & 1095 & 5731.74 & 5709.532 & 22.208 & 76.918 & 0.013 & 4311.664 & 4305.076 & 6.589 & 169.976 & 0.039  & 179.869204319s  & 65.676040572s \\
Dublin & 1074 & 3178.734 & 3179.164 & 0.43 & 81.512 & 0.026 & 2143.318 & 2156.155 & 12.837 & 127.156 & 0.059  & 237.408219026s  & 31.263440572s \\
Grenoble & 965 & 2377.902 & 2365.711 & 12.191 & 94.016 & 0.04 & 3241.497 & 3221.474 & 20.024 & 188.552 & 0.059  & 34.15727359s  & 34.357611338s \\
Helsinki & 1116 & 3372.619 & 3362.006 & 10.612 & 54.22 & 0.016 & 2937.547 & 2929.708 & 7.839 & 167.859 & 0.057  & 446.765457068s  & 31.601062078s \\
Kuopio & 862 & 1561.357 & 1568.104 & 6.747 & 32.909 & 0.021 & 1627.485 & 1639.049 & 11.564 & 102.453 & 0.063  & 2.379255684s  & 10.031066396s \\
Lisbon & 1117 & 1075.165 & 1078.118 & 2.953 & 71.117 & 0.066 & 1640.455 & 1645.34 & 4.885 & 144.297 & 0.088  & 318.94053698s  & 16.359232847s \\
Luxembourg & 953 & 2401.183 & 2392.938 & 8.245 & 29.94 & 0.013 & 1693.977 & 1699.7 & 5.724 & 91.965 & 0.054  & 21.946704885s  & 15.069934527s \\
Melbourne & 1219 & 8569.033 & 8606.278 & 37.244 & 154.481 & 0.018 & 3831.942 & 3811.811 & 20.131 & 119.86 & 0.031  & 2130.250873672s  & 46.267267395s \\
Nantes & 1007 & 3177.761 & 3173.741 & 4.021 & 81.634 & 0.026 & 3680.255 & 3680.667 & 0.413 & 213.181 & 0.058  & 49.549626752s  & 42.449055878s \\
Palermo & 999 & 2728.444 & 2727.414 & 1.03 & 32.071 & 0.012 & 1550.607 & 1551.188 & 0.581 & 40.645 & 0.026  & 32.817460376s  & 18.693919082s \\
Paris & 939 & 4293.46 & 4322.583 & 29.124 & 114.289 & 0.026 & 1520.934 & 1546.846 & 25.912 & 81.032 & 0.052  & 310.794368918s  & 18.824312865s \\
Prague & 1085 & 3713.296 & 3717.76 & 4.464 & 106.781 & 0.029 & 4261.713 & 4228.635 & 33.079 & 258.707 & 0.061  & 339.035784656s  & 41.88603482s \\
Rennes & 956 & 2866.403 & 2843.001 & 23.402 & 61.596 & 0.022 & 1887.561 & 1876.127 & 11.434 & 117.947 & 0.063  & 11.672176126s  & 14.596896961s \\
Rome & 1128 & 3903.972 & 3914.977 & 11.004 & 55.808 & 0.014 & 2240.449 & 2265.239 & 24.79 & 117.796 & 0.052  & 1144.237863193s  & 24.365399105s \\
Sydney & 1240 & 6041.169 & 6046.94 & 5.771 & 127.573 & 0.021 & 4381.857 & 4404.339 & 22.482 & 170.878 & 0.039  & 2914.673354565s  & 50.254612116s \\
Toulouse & 1042 & 4660.7 & 4654.001 & 6.699 & 73.76 & 0.016 & 3829.167 & 3872.518 & 43.35 & 127.956 & 0.033  & 70.387012963s  & 33.017415974s \\
Turku & 983 & 1982.008 & 1980.338 & 1.67 & 42.221 & 0.021 & 1977.662 & 1997.993 & 20.331 & 128.109 & 0.064  & 16.256205047s  & 12.898934892s \\
Venice & 984 & 1897.744 & 1894.172 & 3.572 & 54.838 & 0.029 & 3334.041 & 3344.994 & 10.953 & 152.016 & 0.045  & 18.660991704s  & 20.676189754s \\
Winnipeg & 1084 & 3171.248 & 3168.216 & 3.032 & 35.261 & 0.011 & 2186.97 & 2178.851 & 8.119 & 111.965 & 0.051  & 79.677854558s  & 17.67525197s \\
